method,sample_id,dataset,backbone,horizon,seed,split,delta_mse_vs_lrbn,selected,strength,g_l,g_y,repair_ratio,jump_support,A,case_type
LRBN-BP-always,test_00079,ETTh1,DLinear,96,2026,test,0.13650404422218188,True,1.0,0.4272802624736536,2.15714165436351,0.9125093829179001,0.6666666666666666,-130.49272937444846,low_gap_high_repair_harm
LRBN-BP-always,test_00034,ETTh1,DLinear,96,2026,test,0.022817745351511043,True,1.0,0.1343442959588438,0.6639031530378955,0.8715305574196768,1.0,-36.351952137689196,low_gap_high_repair_harm
LRBN-BP-always,test_00090,ETTh1,DLinear,96,2026,test,0.002568734613641155,True,1.0,0.02082034923296099,0.10246739127398653,0.982580020179428,1.0,-150.47985473707388,low_gap_high_repair_harm
LRBN-BP-always,test_00055,ETTh1,DLinear,96,2026,test,-0.030159060499990176,True,1.0,0.07182597459043151,0.6551048545799063,0.9352771587589671,0.6666666666666666,124.71682854644592,low_gap_high_repair_harm
LRBN-BP-always,test_00058,ETTh1,DLinear,96,2026,test,-0.03232048140032617,True,1.0,0.023189954612145146,0.44417974295787727,0.9800366711624713,1.0,1779.8907324570973,low_gap_high_repair_harm
LRBN-BP-always,test_00033,ETTh1,DLinear,96,2026,test,-0.040480991922067666,True,1.0,0.41157900494852173,2.5999907086993965,0.8577915772836,1.0,49.12569549351084,low_gap_high_repair_harm
LRBN-BP-always,test_00076,ETTh1,DLinear,96,2026,test,-7.119245343746581,True,1.0,11.87280884479929,2.684836367100037,0.22658269831607158,0.05001968904243132,7.100694180682282,high_gap_low_repair_win
LRBN-BP-always,test_00059,ETTh1,DLinear,96,2026,test,-4.43466529141436,True,1.0,6.1723059006680865,0.8646037505852872,0.21226095336850437,0.0790185869522389,3.5923528427218803,high_gap_low_repair_win
LRBN-BP-always,test_00019,ETTh1,DLinear,96,2026,test,-3.397021987332078,True,1.0,7.4770926167779,2.0765452112340723,0.22707619127348733,0.0644790149025144,10.867337588353207,high_gap_low_repair_win
LRBN-BP-always,test_00080,ETTh1,DLinear,96,2026,test,-2.3050127819347352,True,1.0,4.989112141112874,0.16965642694695232,-0.8145336083838199,0.09278577108677395,7.493409979091851,high_gap_low_repair_win
