row_index,horizon,k_used,mean_distance,min_distance,memory_candidate,split,candidate,n,mean_mse_delta,win_rate,harm_rate
176,96,9,2.8748812611771495,1.5608741888104092,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
177,96,9,3.0887628959594755,2.6463706617042586,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
178,96,9,2.4483540068299394,1.8260286297631132,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
179,96,9,2.9460223120506965,2.1186646658683115,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
180,96,9,3.4543374810864282,3.2119933344668623,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
181,96,9,2.4235828193088236,1.661885425288324,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
182,96,9,2.5746917659358353,1.661885425288324,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
183,96,9,2.5688464873576717,1.7567685371477908,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
184,96,9,2.6879594067140986,2.4373033588464383,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
185,96,9,2.7154511907366636,1.8260286297631132,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
186,96,9,2.733858610958651,1.2875346571480168,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
187,96,9,2.7398841860866945,2.2142864223343346,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
188,96,9,3.5455225904118106,2.74888262415478,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
189,96,9,2.7204739880470683,2.230075211129715,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
190,96,9,3.0447130430940956,2.2668799074173362,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
191,96,9,3.422609270811522,2.0802873367538037,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
192,96,9,3.097632006276213,2.381536404121553,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
193,96,9,4.042310027497162,2.2668799074173362,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
194,96,9,2.9665459887406955,2.0623559772398594,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
195,96,9,3.2185559818724077,2.148251951120542,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
196,96,9,4.375786867213282,2.434781693176113,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
197,96,9,3.3403213213235112,2.2984922536829315,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
198,96,9,3.0312627736213265,1.5031446240531838,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
199,96,9,3.2228307522526056,1.5031446240531838,residual_memory_knn_median,inner_train,residual_memory_knn_median,768,0.11948074789916081,0.47265625,0.5143229166666666
